Date,Close/Last,Volume,Open,High,Low
05/12/2025,$38.13,3477609,$36.96,$38.43,$36.50
05/09/2025,$35.91,3155484,$34.32,$36.20,$34.02
05/08/2025,$34.44,6122150,$34.51,$35.68,$32.15
05/07/2025,$36.11,2052886,$35.81,$36.73,$35.65
05/06/2025,$35.43,2439608,$35.22,$36.01,$34.75
05/05/2025,$35.73,1916543,$35.36,$36.21,$35.26
05/02/2025,$35.80,1163943,$35.05,$36.05,$35.00
05/01/2025,$34.92,1726956,$34.64,$35.62,$34.46
04/30/2025,$34.41,1624239,$34.28,$34.51,$33.14
04/29/2025,$35.23,1382463,$35.31,$35.33,$34.5515
04/28/2025,$35.55,2238488,$35.48,$36.43,$35.12
04/25/2025,$36.10,1072552,$35.90,$36.14,$35.10
04/24/2025,$36.01,1512255,$35.59,$36.215,$35.135
04/23/2025,$35.46,2327932,$35.69,$36.48,$35.00
04/22/2025,$34.35,1498599,$33.11,$34.53,$33.07
04/21/2025,$32.94,2113716,$33.30,$33.38,$32.38
04/17/2025,$33.40,1092824,$31.54,$33.46,$31.54
04/16/2025,$31.84,1250705,$31.36,$32.315,$30.90
04/15/2025,$31.74,1089608,$32.15,$32.79,$31.55
04/14/2025,$32.20,1201168,$32.24,$32.99,$31.07
04/11/2025,$31.91,1151401,$31.83,$32.585,$31.15
04/10/2025,$32.29,2183121,$32.295,$32.56,$30.61
04/09/2025,$33.57,3902682,$28.34,$34.33,$28.02
04/08/2025,$28.29,3827310,$31.38,$31.9999,$28.12
04/07/2025,$30.04,3844537,$30.37,$32.86,$29.50
04/04/2025,$31.48,3708999,$30.59,$31.90,$29.90
04/03/2025,$31.98,3198828,$34.96,$35.42,$31.33
04/02/2025,$37.37,1060566,$35.51,$37.64,$35.51
04/01/2025,$36.12,1030955,$35.81,$36.215,$34.61
03/31/2025,$35.67,1290606,$34.79,$35.86,$34.78
03/28/2025,$35.42,1285563,$36.74,$36.94,$35.20
03/27/2025,$37.10,1405423,$37.06,$37.32,$36.665
03/26/2025,$37.33,1056581,$37.34,$38.042,$37.03
03/25/2025,$37.46,979458,$38.54,$38.69,$37.335
03/24/2025,$38.82,960186,$38.09,$39.08,$37.865
03/21/2025,$37.44,2018330,$37.00,$37.48,$36.35
03/20/2025,$37.13,1000769,$36.85,$37.36,$36.67
03/19/2025,$37.22,1376527,$35.96,$37.41,$35.95
03/18/2025,$35.95,1891049,$38.48,$38.52,$35.93
03/17/2025,$38.88,1371342,$38.01,$39.21,$37.78
03/14/2025,$37.80,1404112,$35.90,$38.01,$35.5299
03/13/2025,$35.06,1789076,$35.46,$36.09,$34.76
03/12/2025,$35.41,2139382,$34.92,$35.9342,$33.83
03/11/2025,$34.50,2324641,$36.38,$36.66,$34.36
03/10/2025,$36.02,2140391,$37.26,$37.833,$34.75
03/07/2025,$37.64,2115469,$38.81,$38.90,$36.895
03/06/2025,$39.01,2009534,$40.41,$40.77,$38.495
03/05/2025,$41.04,1579433,$40.56,$41.56,$40.26
03/04/2025,$40.44,4751160,$42.77,$42.97,$39.81
03/03/2025,$43.39,1905220,$44.15,$45.235,$42.6508
02/28/2025,$43.97,2290303,$42.50,$45.44,$42.50
02/27/2025,$43.36,3114527,$47.00,$47.0754,$42.78
02/26/2025,$45.99,1890688,$46.70,$48.80,$45.92
02/25/2025,$46.63,1995781,$46.05,$46.78,$45.00
02/24/2025,$46.17,1756072,$45.41,$46.86,$44.85
02/21/2025,$45.09,988203,$46.87,$46.87,$44.71
02/20/2025,$46.43,1089172,$46.99,$47.42,$46.14
02/19/2025,$47.31,1183052,$45.50,$47.50,$45.10
02/18/2025,$45.76,1109914,$43.32,$45.925,$43.16
02/14/2025,$43.28,744643,$43.27,$43.58,$42.51
02/13/2025,$42.90,827007,$43.15,$44.17,$42.71
02/12/2025,$42.82,785800,$43.14,$43.70,$42.77
02/11/2025,$43.63,720836,$43.21,$44.18,$43.005
02/10/2025,$43.46,508500,$44.14,$44.625,$43.44
02/07/2025,$44.00,1040742,$45.25,$45.25,$43.69
02/06/2025,$45.26,619778,$44.95,$45.62,$44.50
02/05/2025,$44.73,685330,$44.21,$45.22,$43.91
02/04/2025,$44.05,2095448,$44.27,$44.47,$43.31
02/03/2025,$44.33,1279568,$43.41,$45.27,$43.16
01/31/2025,$44.09,1015805,$44.51,$44.64,$43.46
01/30/2025,$44.53,936300,$45.53,$45.62,$44.40
01/29/2025,$45.02,567383,$45.46,$45.745,$44.84
01/28/2025,$45.34,481737,$45.19,$45.71,$44.89
01/27/2025,$45.25,1029721,$43.75,$45.25,$43.585
01/24/2025,$43.77,1984355,$44.64,$45.05,$43.19
01/23/2025,$45.01,804475,$45.08,$45.275,$44.71
01/22/2025,$45.49,974831,$45.41,$45.55,$44.76
01/21/2025,$45.37,1506950,$44.43,$45.393,$43.52
01/17/2025,$44.38,1362469,$44.86,$45.89,$44.16
01/16/2025,$44.46,1053014,$44.80,$45.52,$44.19
01/15/2025,$44.71,1557469,$47.83,$48.15,$44.70
01/14/2025,$46.27,980501,$46.04,$46.855,$46.04
01/13/2025,$46.21,954220,$45.62,$46.35,$45.34
01/10/2025,$46.37,2147494,$46.11,$46.58,$44.50
01/08/2025,$47.00,1119404,$47.78,$47.78,$46.53
01/07/2025,$47.88,714700,$49.00,$49.20,$47.25
01/06/2025,$49.01,1856016,$47.14,$49.77,$46.8801
01/03/2025,$46.89,943125,$47.83,$48.035,$46.64
01/02/2025,$47.77,907538,$48.50,$48.67,$47.43
12/31/2024,$48.19,603557,$48.56,$49.14,$48.07
12/30/2024,$48.26,596623,$48.74,$48.87,$48.07
12/27/2024,$49.08,1088116,$49.31,$49.74,$48.49
12/26/2024,$49.64,625993,$48.52,$49.75,$48.335
12/24/2024,$49.07,363334,$49.22,$49.32,$48.48
12/23/2024,$48.77,875912,$48.37,$49.13,$47.76
12/20/2024,$48.64,2009653,$45.90,$48.93,$45.62
12/19/2024,$46.40,1592020,$46.51,$47.29,$45.5028
12/18/2024,$46.25,2865767,$47.66,$48.18,$45.26
12/17/2024,$47.51,2343186,$47.50,$48.41,$46.85
12/16/2024,$47.98,2340514,$46.10,$48.16,$45.63
12/13/2024,$46.10,1023405,$46.11,$46.625,$45.885
12/12/2024,$46.60,1297113,$46.03,$47.39,$46.01
12/11/2024,$46.14,1187200,$46.63,$47.49,$46.13
12/10/2024,$46.29,686128,$46.99,$47.30,$46.15
12/09/2024,$46.64,785745,$48.05,$48.14,$46.64
12/06/2024,$47.26,595820,$47.97,$48.25,$47.18
12/05/2024,$47.51,571365,$48.20,$48.6485,$47.51
12/04/2024,$48.33,841108,$47.44,$48.54,$46.84
12/03/2024,$47.21,1086232,$48.55,$48.55,$46.87
12/02/2024,$48.35,1633311,$46.83,$49.22,$46.42
11/29/2024,$46.19,631181,$47.10,$47.115,$46.19
11/27/2024,$46.39,675845,$46.55,$47.48,$45.91
11/26/2024,$46.07,3173032,$45.80,$46.15,$45.17
11/25/2024,$45.74,2580962,$45.67,$47.27,$45.67
11/22/2024,$45.43,1086510,$45.63,$46.14,$45.17
11/21/2024,$45.30,1068335,$46.32,$46.57,$45.24
11/20/2024,$46.10,808782,$45.62,$46.18,$45.03
11/19/2024,$45.83,871854,$45.20,$46.10,$44.90
11/18/2024,$45.65,1010841,$46.14,$46.61,$45.49
